Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Maruti Swift,2010,2.8,3.2,42000,Petrol,Dealer,Manual,0
Hyundai Santro,2012,3.1,3.8,35000,Petrol,Dealer,Manual,1
Tata Indigo,2014,2.6,3.0,60000,Diesel,Individual,Manual,1
Honda City,2011,4.5,5.4,52000,Petrol,Dealer,Manual,0
Maruti Wagon R,2013,2.9,3.5,47000,CNG,Dealer,Manual,1
Ford EcoSport,2015,5.6,7.2,43000,Diesel,Dealer,Automatic,0
Hyundai i20,2016,6.5,8.1,28000,Petrol,Dealer,Manual,0
Mahindra Scorpio,2012,6.9,8.4,71000,Diesel,Individual,Manual,1
Maruti Baleno,2018,6.2,7.5,30000,Petrol,Dealer,Automatic,0
Renault Duster,2017,7.1,8.8,39000,Diesel,Dealer,Manual,0
Honda Amaze,2015,4.8,5.9,41000,Petrol,Individual,Manual,1
Volkswagen Vento,2016,5.4,6.7,36000,Diesel,Dealer,Manual,0
Toyota Innova,2014,8.8,10.5,62000,Diesel,Dealer,Automatic,1
Maruti Brezza,2019,8.2,9.6,22000,Diesel,Dealer,Manual,0
Renault Kwid,2017,3.4,4.5,33000,Petrol,Individual,Manual,1
